epochs,rewards
0,1.971637619491895
1,2.249312114241697
2,2.604690550558142
3,2.8548724430942807
4,2.940529865218794
5,2.9837954898516705
6,3.1217001728039873
7,3.0216805628261345
8,2.927434285465502
9,2.696923471161478
10,2.7288382735014327
11,2.872699458216821
12,2.9865791841017786
13,3.028577196694715
14,3.040342440482541
15,2.9638513183660455
16,3.061392408728109
17,3.1947718544827253
18,3.197757666974499
19,3.2461029655145412
20,3.2536116490428757
21,3.2828856034041287
22,3.150912683543272
23,3.1141217858129067
24,3.232793559931002
25,3.200021550896981
26,2.8704173794657284
27,2.8441498045970848
28,2.878854911277917
29,2.869133205207275
30,2.998803738932132
31,3.140408328774935
32,3.127516095117888
33,3.2453956190972466
34,3.1389893592255524
35,3.166180635891447
36,3.2579275789074047
37,3.282482261682984
38,3.234141466621515
39,3.345504200824645
40,3.4063043763136793
41,3.3950409073509102
42,3.0937011392245806
43,3.344946664554238
44,3.239559161668215
45,3.269907845464398
46,3.322312310215725
47,3.2431230013145242
48,3.2331704135119823
49,3.1669586689175464
