epochs,rewards
0,8.850266789560157
1,-5.849344663882516
2,-12.338048799267142
3,-2.9608012327365207
4,-8.221375317907464
5,-5.700126349359902
6,0.6491561196728002
7,3.300799469260496
8,7.933020082009246
9,3.3806528611913134
10,5.440422588854421
11,-0.09585632228711338
12,-0.9367769291085071
13,7.005625051221154
14,2.4910806743366987
15,6.394436378935908
16,5.6034731192871945
17,5.006304869309819
18,8.69355802097951
19,5.09719122617911
20,2.827515907198075
21,6.081391609755449
22,5.086908147656732
23,9.116389266617109
24,4.344819450610782
