epochs,rewards
0,2.1445256788621636
1,2.555404743603118
2,3.6453303867310494
3,4.462222567096951
4,5.108215742694833
5,3.454816837819763
6,4.509348373230548
7,4.317282149698154
8,4.1768031300429165
9,4.961274687222783
10,4.555534830336317
11,4.86916991361902
12,4.659964821207518
13,4.219796968889344
14,4.2007662919570254
15,4.399567314847419
16,4.411944071912643
17,4.436954796397352
18,4.578472539050626
19,4.23179769637847
20,4.22759867715402
21,3.708227060992786
22,4.1179879504533945
23,4.136066143941197
24,3.9040891467906125
25,4.2528140856802015
26,3.899445533269763
27,4.354308696042109
28,4.155496699859662
29,4.07036607864576
30,3.781537503676069
31,3.851150087268984
32,4.282549059277518
33,3.6982516136851884
34,3.958232440091747
35,4.412317516552832
36,4.320643592573048
37,4.3867332904886425
38,4.00249234100627
39,4.224915179757871
40,4.186698594816473
41,3.996149057228804
42,4.5135317949719145
43,4.42551306363722
44,4.61514743208048
45,4.643830439779084
46,4.126145859666808
47,4.2733796582807955
48,4.196218425682529
49,4.3109123951650785
