epochs,rewards
0,-8.56376276002664
1,-8.139633320973982
2,-7.983630527632441
3,-8.252764660519823
4,-8.530040044850862
5,-9.797242561714809
6,-6.469267362015652
7,-5.830100631587398
8,-8.594679197887706
9,-8.775909002987703
10,-6.316884732473416
11,-5.773298657384585
12,-5.144542454934798
13,-2.7048016490062277
14,-4.7679289391775015
15,-4.445184520535777
16,-4.90735115993976
17,-5.036305856500056
18,-4.115818170319285
19,-3.7656241017958947
20,-4.110595841350234
21,-4.058125853433053
22,-4.814811001139812
23,-4.310611721885843
24,-4.62478689171415
25,-4.081022289472513
26,-4.705399409031996
27,-5.079367952017877
28,-5.220153682826172
29,-4.752181366861002
30,-4.238144450320064
31,-4.720004032384534
32,-4.110966333778848
33,-4.937299598095879
34,-3.630668214427324
35,-3.4515545022833107
36,-4.513392077835343
37,-5.505666628324946
38,-5.529867896689406
39,-5.255605829185317
40,-5.282665436560318
41,-4.166233115871398
42,-5.264297816029029
43,-4.777023633028738
44,-5.476281504269348
45,-5.453016786239562
46,-4.731796462544746
47,-4.298724301672463
48,-3.959883311023571
49,-3.539467661337264
