epochs,rewards
0,-51.020399670000025
1,-52.936003419999956
2,-52.28660217000003
3,-52.87799991999995
4,-51.97300148
5,-53.907896330000014
6,-51.36829582
7,-53.17639453000002
8,-52.895898290000055
9,-53.54549927999999
10,-50.62549931999995
11,-52.34379811000001
12,-53.30000075000001
13,-51.593802300000036
14,-51.87050038000003
15,-52.288999209999986
16,-51.09890107000001
17,-51.31590028
18,-51.22120055999998
19,-51.21649953000003
20,-52.337400099999996
21,-52.99120052999993
22,-52.660599939999976
23,-51.870500059999955
24,-52.41839996999993
25,-51.968299579999965
26,-51.74799962999997
27,-52.06950062999995
28,-51.96850074
29,-51.74409989999995
30,-51.79040037
31,-51.418899929999995
32,-51.89540018999998
33,-51.35909972999999
34,-51.77830057000005
35,-51.61080066000003
36,-51.35630004999994
37,-51.58830030999996
38,-51.683099760000026
39,-51.67099994999999
40,-51.64450026
41,-51.38499982
42,-51.215799739999945
43,-51.35650000999996
44,-51.70809988999999
45,-51.40149973000001
46,-51.61710016999999
47,-51.576900029999976
48,-51.599000299999986
49,-51.77170005999998
50,-51.90199974000001
51,-51.827900059999976
52,-51.598500889999976
53,-52.0239015
54,-51.59250030999998
55,-52.008299269999966
56,-51.61109987999999
57,-51.67870066999998
58,-51.78180113000004
59,-51.74319976000001
60,-51.849900179999985
61,-52.13890014000002
62,-52.39599990999997
63,-51.525600839999996
64,-51.61780029000003
65,-51.74710053
66,-51.75220051999998
67,-51.65060005000005
68,-52.34759965
69,-51.45990011999997
70,-51.83630032999995
71,-51.74480025999999
72,-51.970200409999975
73,-51.771899929999975
74,-51.37090019999998
75,-51.50100007999999
76,-51.59719997999995
77,-52.41409942000001
78,-51.925499580000015
79,-53.23909939999996
80,-52.211699589999974
81,-51.749999660000015
82,-51.59430021999996
83,-51.41889986999997
84,-51.903400279999964
85,-52.64879973999997
86,-51.74230072000003
87,-51.851200359999986
88,-51.56649994000001
89,-52.09949980999996
90,-51.46820008999997
91,-51.54910004999999
92,-51.837099909999985
93,-51.60340018999998
94,-51.70520074999998
95,-51.328600150000035
96,-52.37829984999999
97,-51.894499809999964
98,-51.640499899999966
99,-51.72430004999997
100,-51.695900900000005
101,-51.418900430000015
102,-51.46209989999997
103,-51.59840055999999
104,-52.16509977999997
105,-52.172200010000005
106,-51.991900320000006
107,-51.73860013
108,-51.54180019999999
109,-51.52560048999998
110,-51.837099909999985
111,-51.435300279999986
112,-51.607700629999975
113,-51.45980009000001
114,-51.610700629999975
115,-52.03510159
116,-51.76330022
117,-51.48450039999998
118,-51.43520046999996
119,-52.09939970999997
120,-51.41890014999999
121,-51.87730095999997
122,-51.73040005999998
123,-51.786000650000005
124,-51.900900930000006
125,-52.18040000999999
126,-51.68450044999996
127,-51.64770079000001
128,-51.52150050999995
129,-51.892800949999994
130,-51.60680053999995
131,-51.65410004999996
132,-51.87090023999998
133,-51.66280002999998
134,-51.599400309999965
135,-51.566699859999986
136,-51.44360008000002
137,-51.58210051000003
138,-52.07910097000001
139,-51.74480041999998
140,-51.95920012999997
141,-51.902000409999985
142,-51.581700369999986
143,-51.820799599999944
144,-51.56980009999997
145,-51.761100739999975
146,-51.71190034999997
147,-51.55840025999996
148,-51.794000549999964
149,-51.85480041999997
150,-51.77170011999996
151,-51.67320006999996
152,-51.81850094
153,-51.74610073999999
154,-51.68040065999996
155,-52.1569003
156,-51.77880077999997
157,-51.77080046000001
158,-51.86810086
159,-51.88440089999998
160,-51.94050133999999
161,-51.866401100000026
162,-51.68990056999998
163,-51.84360052999999
164,-51.65640045999995
165,-51.878099979999995
166,-51.68140013999996
167,-51.75080079000001
168,-51.845400080000026
169,-51.61440004999995
170,-51.68830012000001
171,-51.64649993999997
172,-51.468200079999924
173,-51.65670011999997
174,-51.660000859999975
175,-51.652800129999974
176,-51.66490018999998
177,-51.863100510000024
178,-51.47640044999995
179,-51.757300090000015
180,-52.01880090000001
181,-51.57069995
182,-51.93410018
183,-51.41900023999997
184,-51.599400299999964
185,-51.63630050999994
186,-51.54210051999997
187,-51.68980035999995
188,-51.640299979999995
189,-51.72560090999998
190,-52.02430106000004
191,-51.49799957999998
192,-51.853499789999965
193,-51.80659973999997
194,-51.70300066999998
195,-51.47859986999994
196,-51.78120075999997
197,-51.86800101000002
198,-51.803600979999985
199,-51.51740035999994
