epochs,rewards
0,-53.54670247000004
1,-51.72250218000006
2,-51.60430352999998
3,-51.75110182000006
4,-51.026700970000036
5,-52.07469808000004
6,-51.13550099000002
7,-53.79549942000003
8,-51.72369973000003
9,-51.32759967999997
10,-51.647698629999994
11,-51.03949973000004
12,-51.50600071000002
13,-53.42940079999996
14,-51.013599079999935
15,-51.53500048999997
16,-52.02570152999999
17,-51.265999399999984
18,-51.907000700000005
19,-51.29819978000001
20,-51.71430102000001
21,-51.34599982000001
22,-51.879200699999984
23,-52.17440059000006
24,-51.95890033000001
25,-52.27750027999997
26,-52.370099779999954
27,-51.70500065999999
28,-52.474601779999915
29,-51.233199750000004
30,-52.297200969999956
31,-51.85010018999996
32,-52.29670106000004
33,-52.31690093999999
34,-51.893600119999995
35,-53.00219938999997
36,-52.09939970999997
37,-51.960001190000014
38,-51.72160062000001
39,-51.98270158000001
40,-52.09109954999994
41,-51.97479962
42,-52.1651001
43,-51.93380007999998
44,-52.14129935999996
45,-51.881200279999995
46,-52.174400369999944
47,-51.60369997999996
48,-51.86909992
49,-51.995499980000034
50,-51.879900070000026
51,-51.74500092000001
52,-52.055799839999985
53,-51.983000700000034
54,-51.99540043
55,-52.06760071999996
56,-52.326899899999965
57,-51.88060058999995
58,-52.220800119999964
59,-52.19570176999999
60,-51.72740056999997
61,-51.69560096999999
62,-51.70359996000001
63,-51.651600350000024
64,-52.116801439999996
65,-52.019899609999975
66,-52.25759978999997
67,-52.04809936999997
68,-52.399900359999975
69,-52.05570080999999
70,-51.74680082999997
71,-52.16880127999999
72,-52.31190064999998
73,-51.954799450000046
74,-51.95770032000002
75,-51.58320005999997
76,-51.87500063000001
77,-52.041900729999966
78,-51.78560133999998
79,-51.546099850000004
80,-51.802499880000006
81,-52.27509978
82,-52.304399709999984
83,-52.03379973999998
84,-51.7943005
85,-51.769800489999994
86,-51.79140033999998
87,-51.75129965999999
88,-51.71089997999998
89,-51.87299958000001
90,-51.81949988999999
91,-52.09109954999994
92,-51.89459990999994
93,-51.70500000999998
94,-51.59850065
95,-51.84970092000001
96,-51.78310007000002
97,-51.92729952999997
98,-51.651500269999985
99,-51.746899739999954
100,-51.96829986999999
101,-52.304599909999936
102,-52.13970000999999
103,-52.156000059999954
104,-51.9498004
105,-51.772200919999975
106,-51.926800600000014
107,-51.73359955000001
108,-51.738001010000026
109,-51.81650007999995
110,-51.76720076
111,-52.034200929999955
112,-51.80589967999998
113,-51.57259979999998
114,-51.817099960000036
115,-51.97900050000002
116,-51.77460033999994
117,-51.80439974999995
118,-51.65900024000001
119,-51.640299979999995
120,-51.709300369999966
121,-51.42719972999994
122,-51.501099869999976
123,-51.83400033999996
124,-51.45180021999999
125,-51.39440024999995
126,-51.609700030000006
127,-51.725700519999975
128,-51.47240045999997
129,-51.47629976999999
130,-52.091600909999954
131,-51.62720072000002
132,-51.736900269999985
133,-51.53380003999997
134,-51.66790040999998
135,-51.79960033999998
136,-51.936700319999964
137,-51.994800640000015
138,-51.37800026999999
139,-51.66499999000001
140,-52.04700026000004
141,-51.72629997999998
142,-52.13570049000003
143,-51.72460029000003
144,-51.48160058
145,-51.55760055999997
146,-51.831001040000025
147,-51.88990054
148,-51.42620025999999
149,-51.88639985
150,-51.64760011999997
151,-51.72039974999998
152,-51.95220025999997
153,-51.602700099999986
154,-51.54410004
155,-51.609700010000026
156,-51.62969984999998
157,-51.853399579999994
158,-51.90459951
159,-51.57140000999998
160,-52.007400589999975
161,-51.492699899999984
162,-51.56720034000004
163,-51.705000669999954
164,-51.50410068999995
165,-51.66810049999998
166,-51.86680043999995
167,-51.71510036999998
168,-51.367500139999954
169,-51.73649988000003
170,-51.68670068999999
171,-51.735900459999996
172,-51.57390044000001
173,-51.70120087999999
174,-51.721400559999985
175,-51.50200040999998
176,-51.526300239999955
177,-51.85140074000001
178,-51.716499959999986
179,-51.89360051000005
180,-51.99320138000001
181,-51.76880150999996
182,-51.54510037000002
183,-51.78620109000005
184,-51.64780082
185,-51.794701420000045
186,-51.563600169999965
187,-51.49360031000002
188,-51.976600409999975
189,-52.033100279999985
190,-51.762600410000005
191,-51.55829987000003
192,-52.238799739999976
193,-51.76339996999994
194,-51.46489994999999
195,-51.40629971999997
196,-51.803800639999984
197,-51.676500579999974
198,-51.749300819999974
199,-51.67830016999994
200,-51.684600589999995
201,-51.993200689999995
202,-51.85500147999997
203,-52.03020105999998
204,-51.423000360000025
205,-51.43840054999998
206,-51.39430024999996
207,-51.81030058999998
208,-52.06480086999994
209,-51.59800045999998
210,-51.3778002
211,-51.52710009000001
212,-51.56550019
213,-51.71689978999997
214,-51.640099689999964
215,-51.992000270000005
216,-51.90270037
217,-51.50089996999998
218,-51.606700679999975
219,-51.58289985000002
220,-51.64760062
221,-51.61890041000001
222,-51.64450036999997
223,-51.53780001999997
224,-51.45180045999995
225,-51.5214004
226,-51.443500309999955
227,-51.46810022999997
228,-51.941700040000015
229,-51.72199991999996
230,-51.377900099999984
231,-51.39430046
232,-51.38809988999999
233,-51.31230026999995
234,-51.61890077999999
235,-51.72609991999997
236,-51.72110013999996
237,-51.463100539999964
238,-51.41790040999999
239,-51.427200029999966
240,-51.737600339999965
241,-51.55430021999995
242,-51.573900989999984
243,-51.86460028999996
244,-51.50899994000001
245,-51.48350066000005
246,-51.53690067999999
247,-51.32870024999998
248,-51.98459990999997
249,-51.45900078000001
250,-51.45070061000001
251,-51.76640011000002
252,-51.48860025999997
253,-51.627300749999975
254,-51.831200960000004
255,-51.577800630000006
256,-51.55320041999998
257,-51.569800679999986
258,-51.53370024999998
259,-51.33690031999997
260,-51.567500529999975
261,-52.238799739999976
262,-51.64990049999998
263,-51.894499809999964
264,-51.60139982999996
265,-51.69790010999999
266,-51.514399810000015
267,-51.476300369999976
268,-51.28769990999999
269,-51.34509981999997
270,-51.414800220000025
271,-51.87510044999997
272,-51.63320063999998
273,-51.51640074999997
274,-51.33480004999995
275,-52.304399709999984
276,-51.63110056999996
277,-51.36970017999998
278,-51.357400319999954
279,-51.39840013999999
280,-51.45080018999996
281,-51.50069964999997
282,-51.722299819999954
283,-51.56460003999999
284,-51.572800109999974
285,-52.304399709999984
286,-51.54199981999996
287,-51.38210016999996
288,-51.675400080000024
289,-51.70510068999998
290,-51.61890062999996
291,-51.74080016000002
292,-51.546000159999984
293,-51.59010038999998
294,-51.59830037999998
295,-51.90150055000004
296,-51.68050018999997
297,-51.98440077000005
298,-51.75800031999997
299,-51.993500729999994
300,-51.59020029999998
301,-51.69759969999994
302,-51.57249963999997
303,-51.685300189999964
304,-51.58620053999997
305,-52.238799739999976
306,-51.812499689999946
307,-51.62699922999998
308,-51.55839995999997
309,-51.71100017999996
310,-51.63119998999996
311,-51.63929981999996
312,-51.98839987999998
313,-51.639600210000005
314,-51.95070044000002
315,-51.743300339999934
316,-51.78870020999997
317,-51.43610041999995
318,-51.71690008999996
319,-51.4755005
320,-51.586100299999984
321,-51.566499930000006
322,-51.455799779999964
323,-51.598500379999976
324,-51.72010035000001
325,-51.91240040999999
326,-51.44349978999997
327,-51.476399869999966
328,-51.65180051999998
329,-51.56649994000001
330,-51.48350044000005
331,-51.773600130000034
332,-51.90240069000001
333,-51.786200589999986
334,-51.35740017999999
335,-51.640299999999975
336,-51.443500159999985
337,-51.50269989999996
338,-52.07770068999997
339,-51.484499999999954
340,-51.42710019999996
341,-51.83610016000004
342,-51.52460074999997
343,-51.690800460000006
344,-51.402500290000006
345,-51.476400369999965
346,-51.84519987999998
347,-51.460000299999976
348,-51.844300539999985
349,-51.39430022000002
350,-51.39020030999999
351,-51.60359998999995
352,-51.49280027999996
353,-51.89750072999997
354,-51.92480104
355,-51.74990052999999
356,-51.67650080999998
357,-51.71730086999998
358,-51.745900859999985
359,-51.55850037999995
360,-51.382000459999965
361,-51.73800073999997
362,-51.672300699999994
363,-51.55830043999996
364,-51.41250014999999
365,-51.484500129999965
366,-51.62809989999997
367,-51.32860015999997
368,-51.42710049999999
369,-51.46810026999997
370,-51.46810022999997
371,-51.53359985999998
372,-51.4599002
373,-52.05030025999999
374,-51.52870031999996
375,-51.56639985999997
376,-51.468200309999965
377,-51.65670012999997
378,-51.66300023999999
379,-51.47119965
380,-51.66489990999996
381,-51.697600079999994
382,-51.66490018999998
383,-51.557300409999975
384,-51.492799709999936
385,-51.845299430000004
386,-51.54209992999995
387,-51.59129976999994
388,-51.54999958999995
389,-51.533799769999945
390,-51.867899799999996
391,-51.64220058999997
392,-51.91000027999997
393,-51.828000169999996
394,-51.96019987999995
395,-51.683500349999974
396,-51.699900189999994
397,-51.98480099999998
398,-51.73869937999994
399,-51.92110014
400,-52.058800780000006
401,-52.02210016000003
402,-51.68350003999998
403,-51.79860104999998
404,-51.72360018000002
405,-51.70999988999998
406,-52.002900400000016
407,-51.650700099999966
408,-51.550099790000004
409,-51.36969972999997
410,-51.75489954999999
411,-51.77139986
412,-51.55710029999996
413,-51.541000089999955
414,-51.58190013999998
415,-51.66490012999997
416,-51.49590060999998
417,-51.613699840000024
418,-51.76950138000003
419,-51.35740017999999
420,-51.845299839999946
421,-51.52450019999999
422,-51.77400112999998
423,-51.63530076999998
424,-51.53370022999998
425,-51.72219971999997
426,-51.47629977999999
427,-52.05019959999996
428,-51.63810058
429,-52.155899959999964
430,-51.794401019999995
431,-51.59020047999996
432,-51.67230066999999
433,-51.50090039999997
434,-51.386100150000004
435,-52.370099779999954
436,-52.16509977999997
437,-52.304399709999984
438,-52.09939970999997
439,-51.53370022999998
440,-51.58980040999997
441,-51.58299990999995
442,-51.43530000999997
443,-51.46000001999995
444,-51.84790062999999
445,-51.42709992999998
446,-51.61589998999998
447,-51.56670022999996
448,-51.72980093
449,-51.546200529999965
450,-52.10759978
451,-51.39430052999998
452,-51.75509978
453,-51.60750027
454,-51.733700809999995
455,-51.680300570000014
456,-51.599400299999964
457,-51.53370022999998
458,-52.017500270000006
459,-52.13140042999997
460,-51.71330045999998
461,-51.83610014
462,-51.5419003
463,-51.737900659999994
464,-51.72970058999997
465,-51.76329984999999
466,-51.69270065999996
467,-51.90920110000001
468,-51.64860012999996
469,-51.885400069999974
470,-51.72140041999997
471,-51.93270108999999
472,-52.098500049999984
473,-51.73780055999998
474,-52.57499967999999
475,-52.48010037999998
476,-51.79530055999998
477,-51.83120023000001
478,-51.582000399999984
479,-51.63940068999998
480,-51.47630025999996
481,-51.67210048999999
482,-51.69680072999998
483,-52.779999679999975
484,-51.74590054000002
485,-51.973101450000016
