epochs,rewards
0,-54.369598459999956
1,-52.35429637000003
2,-51.72309745000001
3,-51.16209852000006
4,-51.15299973999999
5,-51.221701450000026
6,-50.987500270000005
7,-50.48720049999997
8,-52.344598460000036
9,-50.95439914000001
10,-51.47669852999998
11,-51.158098769999974
12,-51.672599760000026
13,-51.093500030000015
14,-50.919899660000034
15,-52.256202079999994
16,-51.51460069999996
17,-51.09829985000003
18,-51.06899950000001
19,-52.64119900999996
20,-51.83410033999996
21,-52.10860051999998
22,-51.08739907000002
23,-52.25480144999997
24,-51.69179925999998
25,-51.61939984999995
26,-51.58280028999995
27,-51.83330037000001
28,-51.934501420000004
29,-51.88220106999996
30,-52.110601079999995
31,-51.544900390000016
32,-51.95819977000005
33,-51.793200379999995
34,-52.3044003
35,-51.81670012
36,-51.780900549999984
37,-51.65480036000003
38,-51.89439970999998
39,-51.72449984999997
40,-51.39720048999998
41,-51.31400014999997
42,-51.80220016000001
43,-51.528699659999965
44,-51.56959964
45,-51.69779939000002
46,-51.57269987999998
47,-51.50389983999999
48,-51.88109955000002
49,-51.585899670000025
50,-51.58089936999999
51,-51.66289977999998
52,-51.48449984999998
53,-51.49579987999999
54,-51.98180004999997
55,-52.012001010000006
56,-51.70889924999997
57,-51.5419003
58,-51.487599800000005
59,-51.67520041000002
60,-51.716300419999996
61,-51.61380003
62,-51.54189972000002
63,-51.57269958999999
64,-51.81879884
65,-51.89779936999997
66,-51.78799957000004
67,-51.81859953999998
68,-51.60959993999998
69,-51.74169952000002
70,-51.47939971999998
71,-51.65879940999998
72,-51.687600430000046
73,-51.52039993000004
74,-51.62389984
75,-51.614800549999984
76,-51.77380028999998
77,-51.626000090000005
78,-51.66580025999998
79,-51.43689966
80,-51.616800849999976
81,-51.51190012000001
82,-51.51640057999999
83,-51.68060057999997
84,-51.55740051999995
85,-51.39649993999997
86,-51.62310087000004
87,-51.67860071000001
88,-51.70700007000002
89,-51.84839994
90,-51.80349973999998
91,-51.84149934000003
92,-51.90719898000001
93,-51.65909914000002
94,-52.01970007000002
95,-51.66000043999999
96,-51.69159977000002
97,-52.12890038000003
98,-51.61490053
99,-51.77720032999999
100,-51.63540067999997
101,-51.49910015999997
