epochs,rewards
0,24.66919559216182
1,24.17258168278763
2,34.93524342676365
3,40.916325818319564
4,45.35496146014711
5,51.13357265173697
6,51.212799210991065
7,55.18774727009372
8,47.638570461889444
9,54.36769685768945
10,51.366849118421925
11,47.709348650427074
12,53.63635756461118
13,49.61786990354649
14,52.3252239207643
15,52.79651014251957
16,50.00843918304814
17,55.040842750194074
18,50.16080291019192
19,49.62003839417386
20,50.429347824868344
21,51.56245760068152
22,48.51861216229227
23,49.06244971014074
24,52.36884567035926
