epochs,rewards
0,-0.2979600879999489
1,-0.2979600879999489
2,-0.29698009399994785
3,-0.2929000919999458
4,-0.2929000919999458
5,-0.2929000919999458
6,-0.2929000919999458
7,-0.28882008999995046
8,-0.28474008799994843
9,-0.2837600939999474
10,-0.2837600939999474
11,-0.27968009199995203
12,-0.27560008999995
13,-0.27560008999995
14,-0.27560008999995
15,-0.27560008999995
16,-0.271520087999948
17,-0.271520087999948
18,-0.271520087999948
19,-0.2674400859999526
20,-0.2674400859999526
21,-0.2674400859999526
22,-0.2674400859999526
23,-0.26336008399995725
24,-0.2558600839999614
25,-0.2558600839999614
26,-0.2557400719999614
27,-0.2557400719999614
28,-0.24824007199996112
29,-0.24824007199996112
30,-0.24824007199996112
31,-0.24714008199996584
32,-0.24714008199996584
33,-0.24714008199996584
34,-0.23964008199996112
35,-0.23964008199996112
36,-0.23964008199996112
37,-0.23964008199996112
38,-0.23964008199996112
39,-0.23854009199995918
40,-0.23854009199995918
41,-0.23854009199995918
42,-0.23854009199995918
43,-0.23842007999995918
44,-0.23842007999995918
45,-0.23324008799995521
46,-0.23324008799995521
47,-0.22574008799995937
48,-0.22166008599995735
49,-0.22166008599995735
50,-0.22166008599995735
51,-0.22166008599995735
52,-0.22166008599995735
53,-0.22056009599996207
54,-0.22056009599996207
55,-0.22056009599996207
56,-0.22056009599996207
57,-0.22056009599996207
58,-0.22056009599996207
59,-0.22056009599996207
60,-0.22056009599996207
61,-0.22056009599996207
62,-0.22056009599996207
63,-0.22056009599996207
64,-0.22056009599996207
65,-0.22056009599996207
66,-0.22056009599996207
67,-0.22056009599996207
68,-0.22056009599996207
69,-0.22056009599996207
70,-0.22056009599996207
71,-0.2204400839999643
72,-0.2204400839999643
73,-0.2204400839999643
74,-0.2204400839999643
75,-0.2204400839999643
76,-0.2204400839999643
77,-0.2204400839999643
78,-0.2204400839999643
79,-0.2204400839999643
80,-0.2204400839999643
81,-0.2204400839999643
82,-0.2204400839999643
83,-0.2204400839999643
84,-0.2204400839999643
85,-0.21934009399996013
86,-0.21934009399996013
87,-0.21934009399996013
88,-0.21934009399996013
89,-0.21934009399996013
90,-0.21934009399996013
91,-0.21934009399996013
92,-0.21934009399996013
93,-0.21934009399996013
94,-0.21934009399996013
95,-0.21934009399996013
96,-0.21934009399996013
97,-0.21934009399996013
98,-0.21934009399996013
99,-0.21934009399996013
100,-0.21934009399996013
101,-0.21934009399996013
102,-0.21934009399996013
103,-0.21934009399996013
104,-0.21934009399996013
105,-0.21934009399996013
106,-0.21934009399996013
107,-0.21934009399996013
108,-0.21934009399996013
109,-0.21934009399996013
110,-0.21934009399996013
111,-0.21934009399996013
112,-0.21934009399996013
113,-0.21934009399996013
114,-0.21934009399996013
115,-0.21934009399996013
116,-0.21934009399996013
117,-0.21934009399996013
118,-0.21934009399996013
119,-0.21934009399996013
120,-0.21934009399996013
121,-0.21934009399996013
122,-0.21934009399996013
123,-0.21934009399996013
124,-0.21934009399996013
125,-0.21184009399995984
126,-0.21184009399995984
127,-0.21184009399995984
128,-0.21184009399995984
129,-0.21184009399995984
130,-0.21184009399995984
131,-0.21184009399995984
132,-0.21184009399995984
133,-0.21184009399995984
134,-0.21184009399995984
135,-0.21184009399995984
136,-0.21184009399995984
137,-0.21184009399995984
138,-0.21172008199995984
139,-0.21172008199995984
140,-0.21172008199995984
141,-0.21172008199995984
142,-0.21172008199995984
143,-0.21172008199995984
144,-0.21172008199995984
145,-0.21172008199995984
146,-0.21172008199995984
147,-0.21172008199995984
148,-0.21172008199995984
149,-0.21172008199995984
150,-0.21172008199995984
151,-0.21172008199995984
152,-0.21172008199995984
153,-0.21172008199995984
154,-0.21172008199995984
155,-0.21172008199995984
156,-0.21172008199995984
157,-0.21172008199995984
158,-0.21172008199995984
159,-0.21172008199995984
160,-0.21172008199995984
161,-0.21172008199995984
162,-0.21172008199995984
163,-0.21172008199995984
164,-0.21172008199995984
165,-0.21172008199995984
166,-0.21172008199995984
167,-0.21172008199995984
168,-0.21172008199995984
169,-0.21172008199995984
170,-0.21172008199995984
171,-0.20796007199996192
172,-0.20796007199996192
173,-0.20796007199996192
174,-0.20796007199996192
175,-0.20796007199996192
176,-0.20796007199996192
177,-0.204200061999964
178,-0.204200061999964
179,-0.204200061999964
180,-0.204200061999964
181,-0.204200061999964
182,-0.204200061999964
183,-0.204200061999964
184,-0.204200061999964
185,-0.20044005199996606
186,-0.20044005199996606
187,-0.20044005199996606
188,-0.20044005199996606
189,-0.20044005199996606
190,-0.20044005199996606
191,-0.20044005199996606
192,-0.20044005199996606
193,-0.20044005199996606
194,-0.20044005199996606
195,-0.20044005199996606
196,-0.20044005199996606
197,-0.20044005199996606
198,-0.20044005199996606
199,-0.19668004199996814
