epochs,rewards
0,0.10351086094751993
1,0.4602885060899675
2,0.49149426279677666
3,0.36065881389714116
4,0.6645775054865188
5,0.9435263354835133
6,1.4755015490904078
7,1.614231753626083
8,2.057807850541027
9,2.259380598960259
10,2.731056552413891
11,2.739256059506767
12,2.9312570871750765
13,2.754293890125875
14,3.2566668846468527
15,3.418905370267966
16,3.554005637298996
17,3.5526639956322548
18,3.634745009592255
19,3.6730399690872884
20,3.49137777133659
21,3.707626715653989
22,3.7960272390672234
23,3.886548500574316
24,3.865941434620024
25,3.3873382070928937
26,3.6066912224849257
27,3.632024104297593
28,3.5514207181329804
29,3.5256159507087936
30,3.328355436180086
31,3.072976459625515
32,3.421665576610766
33,3.202880255206403
34,3.1558721962902325
35,2.8276526418298142
36,2.117169746930092
37,2.3110691912724635
38,3.031065747362105
39,3.11738583756469
40,3.3208905413592893
41,2.898721770029722
42,2.5170119312223793
43,2.5217035628778306
44,3.012558009595445
45,3.5663448645338325
46,3.4170037380409912
47,3.489961227678706
48,3.432219302394268
49,3.518532600847757
