epochs,rewards
0,-1.7636898580259908
1,2.064581011214539
2,4.72089479979817
3,3.2827445773384922
4,6.560199296486258
5,5.086479142564626
6,5.058279840787783
7,5.222175150491648
8,5.902236508312608
9,6.289816809232418
10,7.0805757460075665
11,6.131226082035068
12,5.229252255974027
13,6.398444936754766
14,5.452322627506156
15,7.255033321863347
16,5.936835395693385
17,4.720413413338753
18,5.206182248199842
19,5.797979510303254
20,5.426407964794578
21,5.954094109709429
22,4.889813479865079
23,4.227194576615679
24,5.681202179692845
25,6.023589411572094
26,5.037242746077508
27,6.001229859364354
28,4.779308245163327
29,5.680131655810817
30,5.136765660259968
31,6.920838809057395
32,7.277846789796904
33,5.661607895954889
34,6.674333440082226
35,6.760682637777638
36,5.21830548820752
37,6.171213009254428
38,6.602165810681782
39,6.105988677597706
40,6.479841089122851
41,6.20768134079629
42,5.633107550776362
43,4.849308737121172
44,5.458709665559946
45,5.022915401888661
46,5.279240761347337
47,4.828113623257391
48,5.917323301689093
49,5.685008654072443
