epochs,rewards
0,13.10649089430883
1,15.386822007508016
2,18.336840862440575
3,19.04748609191752
4,18.59717826852494
5,19.02998106272471
6,20.09059524016612
7,21.130436091897042
8,21.07057309378179
9,20.285265965510135
10,19.90384748766737
11,19.526874757595923
12,18.96060778905825
13,19.29761660659176
14,19.12524220209255
15,20.251981080713556
16,20.020934836915583
17,16.84103916958868
18,18.937883372555653
19,18.62259378645199
20,19.26996072383529
21,18.018802978046832
22,18.01234314112734
23,20.44535005612027
24,20.190351378556024
25,19.822842280192297
26,21.224255407491444
27,20.989126297363534
28,19.523213516492653
29,19.75230408670895
30,18.276824411933703
31,20.72142810372757
32,19.8483556907275
33,19.019437164681484
34,19.15185255209506
35,18.67265945637081
36,19.620892609915167
37,21.231657902674996
38,19.569869284437168
39,18.558387696803756
40,17.515707083298913
41,16.09660987045729
42,19.602711771943007
43,21.935206436805956
44,20.949392611686246
45,19.381335554796976
46,17.51068838869828
47,16.35971125230108
48,14.543507634176533
49,16.700807612677018
