epochs,rewards
0,0.4102013499999657
1,0.4102013499999657
2,0.4102013499999657
3,0.4102013499999657
4,0.4102013499999657
5,0.4102013499999657
6,0.4102013499999657
7,0.4102013499999657
8,0.4102013499999657
9,0.4102013499999657
10,0.4102013499999657
11,0.4102013499999657
12,0.4102013499999657
13,0.4102013499999657
14,0.41049726199996694
15,0.4102013499999657
16,0.4102013499999657
17,0.4102013499999657
18,0.4102013499999657
19,0.4102013499999657
20,0.4102013499999657
21,0.4102013499999657
22,0.4102013499999657
23,0.4102013499999657
24,0.4102013499999657
25,0.4102013499999657
26,0.4102013499999657
27,0.4102013499999657
28,0.4102013499999657
29,0.4102013499999657
30,0.4102013499999657
31,0.4102013499999657
32,0.4102013499999657
33,0.4102013499999657
34,0.4102013499999657
35,0.4102013499999657
36,0.4102013499999657
37,0.4102013499999657
38,0.4102013499999657
39,0.4102013499999657
40,0.4102013499999657
41,0.4102013499999657
42,0.4102013499999657
43,0.4102013499999657
44,0.4102013499999657
45,0.4102013499999657
46,0.4102013499999657
47,0.4102013499999657
48,0.4102013499999657
49,0.4102013499999657
50,0.4102013499999657
51,0.4102013499999657
52,0.4102013499999657
53,0.4102013499999657
54,0.4102013499999657
55,0.4102013499999657
56,0.4102013499999657
57,0.4102013499999657
58,0.4103493059999641
59,0.4102013499999657
60,0.4102013499999657
61,0.4102013499999657
62,0.4102013499999657
63,0.4102013499999657
64,0.4102013499999657
65,0.4102013499999657
66,0.4102013499999657
67,0.4102013499999657
68,0.4102013499999657
69,0.4102013499999657
70,0.4102013499999657
71,0.4102013499999657
72,0.4102013499999657
73,0.4102013499999657
74,0.4103493059999641
75,0.4103493059999641
76,0.4102013499999657
77,0.4102013499999657
78,0.4102013499999657
79,0.4102013499999657
80,0.4102013499999657
81,0.4102013499999657
82,0.4102013499999657
83,0.4102013499999657
84,0.4102013499999657
85,0.4102013499999657
86,0.4102013499999657
87,0.4102013499999657
88,0.4102013499999657
89,0.4102013499999657
90,0.4102013499999657
91,0.4102013499999657
92,0.4102013499999657
93,0.4102013499999657
94,0.4103493059999641
95,0.4102013499999657
96,0.4102013499999657
97,0.4102013499999657
98,0.4102013499999657
99,0.4102013499999657
100,0.4102013499999657
101,0.4102013499999657
102,0.4102013499999657
103,0.4103493059999641
104,0.4102013499999657
105,0.4102013499999657
106,0.4102013499999657
107,0.4102013499999657
108,0.4102013499999657
109,0.4102013499999657
110,0.4102013499999657
111,0.4102013499999657
112,0.4102013499999657
113,0.4102013499999657
114,0.4102013499999657
115,0.4102013499999657
116,0.4102013499999657
117,0.4102013499999657
118,0.4102013499999657
119,0.4102013499999657
120,0.4102013499999657
121,0.41049726199996694
122,0.4102013499999657
123,0.4103493059999641
124,0.4102013499999657
125,0.4102013499999657
126,0.4102013499999657
127,0.4102013499999657
128,0.4102013499999657
129,0.4102013499999657
130,0.4102013499999657
131,0.4102013499999657
132,0.4102013499999657
